Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Housing and Urban Development,Economic Development Initiatives,GA,Gwinnett County Board of Supervisors,Gwinnett County Harvest Gwinnett Mobile Kitchen Vehicle Acquisition,"$250,000.00 ",Scott (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,Rockdale County,Rockdale River Trail Improvements,"$500,000.00 ",Scott (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,Newton County Water and Sewage Authority,Newton County Salem Road Utility Relocation Project,"$850,000.00 ",Scott (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,Henry County Government,Henry County Panola Road Resurfacing,"$1,200,000.00 ",Scott (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Jonesboro,City of Jonesboro Pedestrian Improvements Project,"$3,028,359.00 ",Scott (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,Atlanta Public Schools,Atlanta Community Schoolyards,"$700,000.00 ",Williams (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Atlanta,Food  Ecosystem—Farms  and  Gardens  Development  and  Expansion,"$850,000.00 ",Williams (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,Clayton County Government,"Small Business Incubator Facility in Clayton County, GA","$1,200,000.00 ",Williams (GA),
Department of Housing and Urban Development,Economic Development Initiatives,GA,The Housing Authority of the City of Atlanta,Thomasville Heights Apartments Green Infrastructure,"$2,000,000.00 ",Williams (GA),
Department of Housing and Urban Development,Economic Development Initiatives,HI,Department of Land and Natural Resources,Hawaii Nature Center Facility Upgrades and Expansion,"$250,000.00 ",Case,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Hawaii Broadband Office,Broadband Infrastructure Development,"$250,000.00 ",Case,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Highlands Intermediate School,Enhancement  of  Highlands  Intermediate  School’s  Media  Center Infrastructure,"$300,000.00 ",Case,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Kalihi Waena Elementary School,Construction  of  a  Single-Span  Bridge  for  the  Kalihi  Elementary School Project,"$850,000.00 ",Case,
Department of Housing and Urban Development,Economic Development Initiatives,HI,City and County of Honolulu,Safe  Harbor  Support  for  Housing  Survivors  of  Domestic  Violence Project Housing Acquisition,"$850,000.00 ",Case,
Department of Housing and Urban Development,Economic Development Initiatives,HI,City and County of Honolulu,Waikiki Vista Redevelopment Project—Shelter and Housing Development and Construction,"$1,000,000.00 ",Case,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Hawaii Department of Transportation,Aloha Tower Repair,"$2,000,000.00 ",Case,
Department of Housing and Urban Development,Economic Development Initiatives,HI,County of Maui,Maluaka Affordable Rental Housing Development and Construction,"$250,000.00 ",Tokuda,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Kauai County Housing Agency,Kilauea Town Housing Expansion,"$250,000.00 ",Tokuda,
Department of Housing and Urban Development,Economic Development Initiatives,HI,"Hawaii Department of Business, Economic Development & Tourism",Tropical AgTech Center Project—Facilities and Equipment,"$250,000.00 ",Tokuda,
Department of Housing and Urban Development,Economic Development Initiatives,HI,"Department of Land and Natural Resources, Division of Aquatic Resources",Aquaculture Development Accelerator at the Wailoa Station,"$250,000.00 ",Tokuda,
Department of Housing and Urban Development,Economic Development Initiatives,HI,County of Maui,Lanai Affordable Housing Project,"$1,200,000.00 ",Tokuda,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Kauai County Housing Agency,Lima Ola Affordable Housing Project,"$3,150,000.00 ",Tokuda,
Department of Housing and Urban Development,Economic Development Initiatives,IA,City of Ely,Urban Renewal Initiative,"$2,000,000.00 ",Hinson,
Department of Housing and Urban Development,Economic Development Initiatives,IA,Cerro Gordo County,North Iowa Corridor Workforce Housing Initiative,"$3,000,000.00 ",Hinson,
Department of Housing and Urban Development,Economic Development Initiatives,IA,Kirkwood Community College,Swine Career and Technical Education Barn,"$3,716,000.00 ",Hinson,
Department of Housing and Urban Development,Economic Development Initiatives,IA,City of Clinton,North River Drive Connector Project,"$1,000,000.00 ",Miller-Meeks,
Department of Housing and Urban Development,Economic Development Initiatives,IA,Southeast Iowa Regional and Economic Port Authority,Lee County Career Center Project,"$1,000,000.00 ",Miller-Meeks,
Department of Housing and Urban Development,Economic Development Initiatives,IA,City of Tipton,Montgomery Drive Improvement Project,"$1,000,000.00 ",Miller-Meeks,
Department of Housing and Urban Development,Economic Development Initiatives,IA,Jefferson County,110th Street FDR and Asphalt Paving Project,"$3,000,000.00 ",Miller-Meeks,
Department of Housing and Urban Development,Economic Development Initiatives,IA,Ottumwa Community School District,Ottumwa Youth Hub,"$500,000.00 ",Nunn,
Department of Housing and Urban Development,Economic Development Initiatives,IA,City of Mitchellville,Mitchellville-Center Ave Streetscape Project,"$640,000.00 ",Nunn,
Department of Housing and Urban Development,Economic Development Initiatives,IA,Iowa Western Community College,Flexible Learning and Experiential Training Lab Project,"$900,000.00 ",Nunn,
Department of Housing and Urban Development,Economic Development Initiatives,IA,Polk County,Des Moines Homeless Youth Building,"$1,000,000.00 ",Nunn,
Department of Housing and Urban Development,Economic Development Initiatives,IA,Des Moines Area Community College,"Diesel, HVAC, Building Trades, and Fire Science Facility Support","$2,000,000.00 ",Nunn,
Department of Housing and Urban Development,Economic Development Initiatives,IA,City of Des Moines,Iowa Confluence Water Trails (ICON),"$2,000,000.00 ",Nunn,
Department of Housing and Urban Development,Economic Development Initiatives,ID,University of Idaho,Idaho Water Center,"$3,853,000.00 ",Simpson,
Department of Housing and Urban Development,Economic Development Initiatives,ID,Mountain Home School District #193,Stephensen Elementary School Build,"$6,409,000.00 ",Simpson,
Department of Housing and Urban Development,Economic Development Initiatives,IL,North Muddy Township,Reconstruction of N 600th Street,"$540,000.00 ",Bost,
Department of Housing and Urban Development,Economic Development Initiatives,IL,City of Carbondale,Poplar Street Restoration Project,"$900,000.00 ",Bost,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Village of Oblong,South Range Street Replacement Project,"$2,236,000.00 ",Bost,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Piatt County,Piatt County Buildings Capital Improvements,"$250,000.00 ",Budzinski,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Urbana Park District,Urbana Park District Prairie and Weaver Park Site Rehabilitation,"$250,000.00 ",Budzinski,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Champaign Park District,Parkland Way Reconstruction,"$850,000.00 ",Budzinski,
Department of Housing and Urban Development,Economic Development Initiatives,IL,University of Illinois,Integrated Bioprocessing Research Laboratory Expansion,"$1,200,000.00 ",Budzinski,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Village of Brooklyn,Brooklyn Community Center Development,"$2,000,000.00 ",Budzinski,
Department of Housing and Urban Development,Economic Development Initiatives,IL,City of Countryside,City of Countryside Public Works Facility,"$250,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Village of Lombard,Village of Lombard Underground Infrastructure,"$250,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Village of Crestwood,Carriage Lane Water Main Replacement,"$250,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Worth Park District,Worth Park District Park Infrastructure,"$302,500.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Westmont Park District,Ty Warner Park Permeable Paver Parking Lot,"$500,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,DuPage Water Commission,DuPage  Regional  Source  Water  Project:  Electric  Supply  and  Grid Improvements,"$500,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Village of Palos Park,Main Pump Station Improvements,"$500,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,DuPage County Health Department,Residential Group Homes Energy Efficiency Project,"$600,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Village of Willowbrook,75th Street Water Main Improvements,"$850,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Salt Creek Sanitary District,Salt Creek Sanitary District Wastewater Treatment Plant,"$850,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Board of Education of the City of Chicago,Sutherland Elementary School Outdoor Space,"$1,000,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,City of Palos Hills,City of Palos Hills Reservoir Rehabilitation,"$1,200,000.00 ",Casten,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Community College District no. 508 DBA Malcolm X College,West Side Learning Center—Facility Renovation and Expansion,"$1,000,000.00 ",Davis (IL),
Department of Housing and Urban Development,Economic Development Initiatives,IL,Chicago Park District,Ogden Park Improvements,"$2,000,000.00 ",Davis (IL),
Department of Housing and Urban Development,Economic Development Initiatives,IL,City of Chicago,Franciscan Outreach Shelter Improvements,"$2,000,000.00 ",Davis (IL),
Department of Housing and Urban Development,Economic Development Initiatives,IL,City of Chicago,Olive Branch Mission Shelter Infrastructure Improvements,"$2,000,000.00 ",Davis (IL),
Department of Housing and Urban Development,Economic Development Initiatives,IL,DuPage County Division of Transportation,91st Street Infrastructure Improvement Project,"$750,000.00 ",Foster,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Aurora Public Library District,Eola Road Branch Library Renovation,"$850,000.00 ",Foster,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Hampshire Fire Protection District,Hampshire Second Fire Station,"$1,000,000.00 ",Foster,
